zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Psygansu,Cervus duvauceli,"Deer, barasingha",Reina,Female,1993-12-16,32,true
Knivsta,Ursus americanus,"Bear, black",Carmencita,Genderfluid,2015-07-22,6,false
Jardín América,Eurocephalus anguitimens,Southern white-crowned shrike,Georgi,Male,1995-11-07,40,false
Rinconada,Corvus albicollis,White-necked raven,Catharine,Female,2022-07-01,63,false
Neresnytsya,Graspus graspus,"Crab, red lava",Bobbee,Female,2012-04-15,97,true
Gainesville,Speothos vanaticus,"Dog, bush",Gerianne,Female,2008-07-21,22,false
Dallas,Lama glama,Llama,Melisandra,Genderfluid,1998-08-03,58,false
Tursunzoda,unavailable,African snake (unidentified),Mata,Male,1983-03-20,75,false
Saḩab,Ninox superciliaris,White-browed owl,Darlene,Female,2004-05-25,87,true
Mlimba,Stercorarius longicausus,"Skua, long-tailed",Catherina,Female,2006-02-04,82,false
Tourcoing,Ephipplorhynchus senegalensis,"Stork, saddle-billed",Veriee,Female,2004-07-04,48,false
Krajan,Agouti paca,Paca,Broddy,Male,1980-10-23,91,true
Ozerne,Corvus brachyrhynchos,"Crow, house",Jacquie,Polygender,2007-04-04,80,true
Phan Thong,Chlamydosaurus kingii,"Dragon, frilled",Bird,Female,1992-02-05,55,true
Cogreg Wetan,Coluber constrictor,"Snake, racer",Heinrick,Male,1993-04-14,75,false
Leeuwarden,Funambulus pennati,"Squirrel, palm",Miof mela,Genderfluid,2010-01-09,96,true
Maji,Chlamydosaurus kingii,"Dragon, frilled",Daron,Female,1998-10-22,58,true
La Sierpe,Gyps bengalensis,Oriental white-backed vulture,Creight,Genderfluid,2022-01-07,81,true
Jerusalem,Ammospermophilus nelsoni,"Squirrel, nelson ground",Kiel,Male,2010-03-16,60,true
Lumbayan,Lybius torquatus,"Barbet, black-collared",Mimi,Female,1975-10-24,4,false
Mgachi,Psophia viridis,Green-winged trumpeter,Paulo,Male,2003-07-07,76,true
Rezé,Ceratotherium simum,White rhinoceros,Megan,Female,1995-01-28,100,false
Khlong Toei,Myrmecobius fasciatus,Numbat,Lorne,Female,2005-04-14,89,true
Bastia,Aegypius tracheliotus,"Vulture, black",Corney,Male,1980-01-06,18,true
Bárrio,Uraeginthus angolensis,"Bleu, blue-breasted cordon",Winston,Male,2023-12-11,31,true
Manis Mekarwangi,Ovibos moschatus,Musk ox,Sheridan,Male,1980-05-17,63,false
Brka,Paradoxurus hermaphroditus,"Civet, common palm",Shawn,Female,2022-03-19,5,true
Ngama,Callorhinus ursinus,Northern fur seal,Francyne,Female,1984-09-18,1,false
Rząśnik,Macropus rufus,Red kangaroo,Graehme,Male,2002-12-19,5,false
Taobei,Parus atricapillus,"Chickadee, black-capped",Waldo,Male,1973-11-15,27,true
President Roxas,Tayassu tajacu,"Peccary, collared",Kori,Female,2015-05-28,59,false
Berber,Stercorarius longicausus,Long-tailed jaeger,Hamlen,Male,1980-12-13,43,false
Palcza,Butorides striatus,Striated heron,Fredek,Male,2007-07-20,79,true
Pampa de los Guanacos,Recurvirostra avosetta,Pied avocet,Wyn,Male,2013-09-30,3,true
Baiquesi,Picoides pubescens,Downy woodpecker,Briney,Female,1991-05-19,19,false
Babura,Cebus apella,Brown capuchin,Katalin,Female,2021-01-03,17,true
Yanhe,Paradoxurus hermaphroditus,Paradoxure,Shela,Female,1994-10-01,41,false
Sanjian,Geochelone radiata,Radiated tortoise,Trenton,Male,1981-06-28,8,true
Bokong Timur,Kobus leche robertsi,Kafue flats lechwe,Genna,Female,1976-07-27,6,false
Yongledian,Casmerodius albus,"Egret, great",Almire,Female,2011-09-09,70,true
Cete,Melophus lathami,"Bunting, crested",Carce,Male,1998-09-11,81,true
Tolosa,Xerus sp.,African ground squirrel (unidentified),Maureene,Non-binary,2005-06-23,1,true
Namayingo,Semnopithecus entellus,Common langur,Casi,Polygender,1973-05-25,69,false
Singgit,Procyon cancrivorus,"Raccoon, crab-eating",Inesita,Female,1999-05-26,66,true
Ayabaca,Larus sp.,Gulls (unidentified),Roarke,Male,1970-07-26,8,false
Viligili,Threskionis aethiopicus,Sacred ibis,Lamond,Male,1990-12-04,13,false
Ikar,Tayassu tajacu,Collared peccary,Allis,Female,2007-10-13,19,false
Mendoza,unavailable,"Gull, herring",Lemar,Male,2014-07-22,97,false
Comodoro Rivadavia,Tachybaptus ruficollis,Dabchick,Trudi,Female,1977-06-06,53,true
José Bonifácio,Panthera onca,Jaguar,Ingra,Male,2004-05-10,35,true
Nzega,Phoenicopterus ruber,"Flamingo, roseat",Hamilton,Male,1974-12-02,76,false
Uiasa,Larus fuliginosus,"Gull, dusky",Olivero,Male,1976-07-29,42,false
Lovisa,Tringa glareola,"Sandpiper, spotted wood",Alvera,Female,2000-04-13,22,true
Kamwenge,Vulpes cinereoargenteus,Grey fox,Charmine,Female,2014-06-13,72,true
San José de las Lajas,Hystrix indica,"Porcupine, indian",Evanne,Genderqueer,1984-08-13,35,false
Las Palmas,Pterocles gutturalis,"Sandgrouse, yellow-throated",Margarita,Agender,1988-07-21,89,true
Agios Dimitrios,Pseudocheirus peregrinus,Ring-tailed possum,Norrie,Male,2002-10-12,19,true
Maracanã,Sula dactylatra,Masked booby,Ernesto,Male,1995-09-28,46,false
Jaguarão,Aquila chrysaetos,"Eagle, golden",Danella,Female,1985-04-14,30,true
Vailoatai,Eolophus roseicapillus,Red-breasted cockatoo,Troy,Male,2019-05-22,22,false
Nianyushan,Smithopsis crassicaudata,Fat-tailed dunnart,Kirby,Male,1993-08-11,6,true
Xinba,Colobus guerza,Black and white colobus,Farrah,Bigender,2003-01-29,36,false
